# description: calculated marker genes for adrenal medullary cell populations
# source: Supplementary Table 5 of Jansky et al, Nat Gen 53, 683–693 (2021)
# doi: 10.1038/s41588-021-00806-1
cell_type,gene
late SCPs,OLFML2A
late SCPs,NRXN3
late SCPs,SLC35F1
late SCPs,CDH19
late SCPs,ABCA8
late SCPs,PRDM16
late SCPs,MPZ
late SCPs,ARHGAP15
late SCPs,CHST9
late SCPs,LRRTM4
late SCPs,SHISA9
late SCPs,COL5A2
late SCPs,XKR4
late SCPs,TRPM3
late SCPs,SAMHD1
late SCPs,RP11-308N19.1
late SCPs,INSC
late SCPs,RP11-242P2.1
late SCPs,NRXN1
late SCPs,IL1RAPL1
late SCPs,PTPRZ1
late SCPs,NR2F2-AS1
late SCPs,LAMA2
late SCPs,LPL
late SCPs,PLP1
late SCPs,SCN7A
late SCPs,TGFBR2
late SCPs,GINS3
late SCPs,DST
late SCPs,PRIMA1
late SCPs,GPR126
late SCPs,PLCE1
late SCPs,TMEM132B
late SCPs,PARD3B
late SCPs,PLAT
late SCPs,SHC4
late SCPs,CHL1
late SCPs,ERBB3
late SCPs,POLR2F
late SCPs,FHDC1
late SCPs,NKAIN2
late SCPs,ZEB2
late SCPs,GRIN2B
late SCPs,STARD13
late SCPs,SEMA3C
late SCPs,IL1RAPL2
late SCPs,QKI
late SCPs,ADAM23
late SCPs,S100B
late SCPs,EDNRB
late SCPs,SNTB1
late SCPs,NAALADL2
late SCPs,VGLL3
late SCPs,AFAP1L2
late SCPs,NKAIN3
late SCPs,RGCC
late SCPs,PKNOX2
late SCPs,GPM6B
late SCPs,ARHGAP42
late SCPs,PPP2R2B
late SCPs,TTYH1
late SCPs,SH3D19
late SCPs,SYNPR
late SCPs,ARHGAP31
late SCPs,WWTR1
late SCPs,PPFIBP1
late SCPs,COL25A1
late SCPs,AHR
late SCPs,PTPRJ
late SCPs,SOX5
late SCPs,AQP4-AS1
late SCPs,KCNH8
late SCPs,COL4A2
late SCPs,RP11-776H12.1
late SCPs,RASSF4
late SCPs,SOX10
late SCPs,LAMA4
late SCPs,KIAA1217
late SCPs,RFTN2
late SCPs,EPHA5
late SCPs,LINC00478
late SCPs,GAS7
late SCPs,ALDH1A1
late SCPs,CDH6
late SCPs,MEGF10
late SCPs,C10orf11
late SCPs,FIGN
late SCPs,ERBB4
late SCPs,PPAP2A
