# description: cell type markers for bone marrow cells in the tumor microenvironment of metastasized prostate cancer
# source: Baryawno et al, bioRxiv 2020.03.19.998658, v2 (2020)
# doi: 10.1101/2020.03.19.998658
CD4+ Naive,CD8+ Naive,CTL-1,CTL-2,Endothelial,Erythroid,Immature B cells,Mature B,mDC,memBcell,Monocytes,NK,NKT,Osteoblasts,Osteoclasts,pDC,Pericytes,Pro-B,Progenitors,TAM,Th1/17,TIM,Treg,NB
LTB,CD8B,GZMK,CCL5,GNG11,AHSP,TCL1A,MS4A1,HLA-DQA1,MZB1,MNDA,GNLY,CCL5,BGLAP,MMP9,IGJ,MCAM,DNTT,SPINK2,CD68,IL7R,IER3,CD4,PHOX2B
IL7R,CCR7,CCL5,IL32,IFI27,HBD,VPREB3,CD79A,HLA-DQB1,DERL3,CSTA,KLRD1,GZMH,SPP1,SPP1,IRF8,ACTA2,VPREB1,IGLL1,CTSB,IL32,PLAUR,FOXP3,PHOX2A
CD3D,CD7,CST7,IL7R,RAMP2,HBA1,CD79B,CD79B,HLA-DMA,SEC11C,LYZ,GZMB,NKG7,IBSP,CTSK,IRF7,CAV1,VPREB3,SSBP2,CD163,LTB,PTGS2,IL2RA,TH
CD3E,CD3D,CCL4,CD3D,SPARC,SMIM1,MZB1,HLA-DQB1,HLA-DRB5,FKBP11,LST1,KLRF1,CST7,EBF1,ACP5,LILRA4,RGS5,IGLL1,CD34,MS4A7,CD3D,IL1B,CD3D,SYP
CCR7,LTB,GZMA,CD2,HSPG2,CA1,IGLL5,HLA-DQA1,CST3,IGLL5,VCAN,CST7,GZMA,DCN,CD68,TCF4,NDUFA4L2,CD79B,STMN1,C1QC,CD3E,FCN1,CD3E,CHGA
NOSIP,NOSIP,NKG7,GZMA,CALCRL,HBB,CD79A,BANK1,LYZ,PRDX4,CST3,FGFBP2,CCL4,LUM,CKB,ITM2C,COL18A1,MZB1,SOX4,VSIG4,CD2,SOD2,CD3G,CHGB
IL32,CD8A,CMC1,GZMK,PLVAP,APOC1,FAM129C,HLA-DPA1,HLA-DMB,ITM2C,FCN1,PRF1,KLRD1,MGP,RAB13,MZB1,LHFP,SOCS2,PRSS57,FCER1G,RORA,IL8,,DBH
MAL,CD3E,IL32,CD3E,SPRY1,KCNH2,KIAA1407,HLA-DRA,FCER1A,SELM,TYROBP,NKG7,CTSW,PCOLCE,IBSP,UGCG,CALD1,ARPP21,,APOC1,CD3G,C5AR1,,GATA2
CD3G,CD27,CD3D,CST7,A2M,TFRC,PCDH9,HLA-DPB1,HLA-DPA1,DNAJB9,S100A12,GZMA,FGFBP2,CEPP1,TCIRG1,SERPINF1,CD248,CD9,,FCGRT,KLRB1,VCAN,,MYCN
TCF7,IL7R,CD8A,NKG7,IGFBP7,NME4,CD72,HLA-DRB1,LST1,FKBP2,AIF1,KLRB1,GNLY,NNMT,,PLD4,NT5E,HPS4,,GLUL,TRAT1,CSTA,,L1CAM
LDHB,LDLRAP1,CD8B,LYAR,EGFL7,CA2,NEIL1,TCL1A,FCER1G,HERPUD1,S100A8,CCL4,GZMB,BGN,,RNASE6,PECAM1,SOX4,,IER3,SYNE2,OSM,,B4GALNT1
PIK3IP1,TCF7,PYHIN1,KLRB1,TM4SF1,SYNGR1,SPIB,LTB,MNDA,FCRL5,FCER1G,CTSW,IL32,PDGFRA,,BCL11A,ANPEP,MME,,AIF1,CD40LG,EREG,,NCAM1
