# Description: Cell type markers for NB cells
# Source:
#   ncc_like: Boeva et al., Nature Gen 49(9), 1408 (2017); see also Table S2E from Dong et al., Cancer Cell 38, 716–733 (2020)
#   noradrenergic: ibd
#   mesenchymal: van Groningen et al., Nature Gen 49(8), 1261 (2017); also Dong
#   adrenergic: ibd
cell_type,gene
ncc_like,NR3C1
ncc_like,BHLHE41
ncc_like,MAFF
ncc_like,GLIS3
ncc_like,IRF1
ncc_like,IRF2
ncc_like,IRF3
ncc_like,FLI1
ncc_like,MEF2D
ncc_like,PRRX1
ncc_like,RUNX1
ncc_like,RUNX2
ncc_like,TBX18
ncc_like,FOSL1
ncc_like,FOSL2
noradrenergic,PHOX2B
noradrenergic,GATA3
noradrenergic,HAND2
noradrenergic,HAND1
noradrenergic,KLF7
noradrenergic,ISL1
noradrenergic,PHOX2A
mesenchymal,A2M
mesenchymal,ABRACL
mesenchymal,ACADVL
mesenchymal,ACAP2
mesenchymal,ACTA2
mesenchymal,ACTN1
mesenchymal,ADAM19
mesenchymal,ADAM9
mesenchymal,ADAMTS5
mesenchymal,ADGRE5
mesenchymal,ADGRG6
mesenchymal,AEBP1
mesenchymal,AJUBA
mesenchymal,ALDH1A3
mesenchymal,AMMECR1
mesenchymal,ANTXR1
mesenchymal,ANXA1
mesenchymal,ANXA2
mesenchymal,ANXA5
mesenchymal,ANXA6
mesenchymal,APOE
mesenchymal,APP
mesenchymal,ARHGAP1
mesenchymal,ARHGEF40
mesenchymal,ARL1
mesenchymal,ARL4A
mesenchymal,ARMCX2
mesenchymal,ARPC1B
mesenchymal,ASPH
mesenchymal,ATP10D
mesenchymal,ATP1B1
mesenchymal,ATP2B1
mesenchymal,ATP2B4
mesenchymal,ATP6V0E1
mesenchymal,ATP8B2
mesenchymal,ATXN1
mesenchymal,B2M
mesenchymal,BAG3
mesenchymal,BGN
mesenchymal,BMP5
mesenchymal,BNC2
mesenchymal,BOC
mesenchymal,BTN3A2
mesenchymal,C1orf198
mesenchymal,C1orf54
mesenchymal,C4orf32
mesenchymal,C6orf120
mesenchymal,CALD1
mesenchymal,CALU
mesenchymal,CAPN2
mesenchymal,CAPN6
mesenchymal,CBFB
mesenchymal,CBLB
mesenchymal,CCDC80
mesenchymal,CD164
mesenchymal,CD44
mesenchymal,CD59
mesenchymal,CD63
mesenchymal,CDH11
mesenchymal,CETN2
mesenchymal,CFH
mesenchymal,CFI
mesenchymal,CILP
mesenchymal,CKAP4
mesenchymal,CLIC4
mesenchymal,CMTM3
mesenchymal,CMTM6
mesenchymal,CNN3
mesenchymal,COL11A1
mesenchymal,COL12A1
mesenchymal,COL1A1
mesenchymal,COL27A1
mesenchymal,COL3A1
mesenchymal,COL4A1
mesenchymal,COL4A2
mesenchymal,COL5A1
mesenchymal,COL5A2
mesenchymal,COL6A1
mesenchymal,COL6A2
mesenchymal,COL6A3
mesenchymal,COPA
mesenchymal,CPED1
mesenchymal,CPS1
mesenchymal,CRABP2
mesenchymal,CREB3L2
mesenchymal,CREG1
mesenchymal,CRELD2
mesenchymal,CRISPLD1
mesenchymal,CRTAP
mesenchymal,CSRP1
mesenchymal,CTDSP2
mesenchymal,CTNNA1
mesenchymal,CTSB
mesenchymal,CTSC
mesenchymal,CTSO
mesenchymal,CXCL12
mesenchymal,CYBRD1
mesenchymal,CYFIP1
mesenchymal,CYP26A1
mesenchymal,CYR61
mesenchymal,DCAF6
mesenchymal,DDOST
mesenchymal,DDR2
mesenchymal,DESI2
mesenchymal,DKK3
mesenchymal,DLC1
mesenchymal,DLX1
mesenchymal,DLX2
mesenchymal,DMD
mesenchymal,DNAJC1
mesenchymal,DNAJC10
mesenchymal,DNAJC3
mesenchymal,DNM3OS
mesenchymal,DPY19L1
mesenchymal,DSE
mesenchymal,DUSP14
mesenchymal,DUSP5
mesenchymal,DUSP6
mesenchymal,EDEM1
mesenchymal,EDNRA
mesenchymal,EFEMP2
mesenchymal,EGFR
mesenchymal,EGR1
mesenchymal,EGR3
mesenchymal,EHD2
mesenchymal,ELAVL1
mesenchymal,ELF1
mesenchymal,ELK3
mesenchymal,ELK4
mesenchymal,EMILIN1
mesenchymal,EMP1
mesenchymal,ENAH
mesenchymal,EPHA3
mesenchymal,EPS8
mesenchymal,ERBIN
mesenchymal,ERLIN1
mesenchymal,ERRFI1
mesenchymal,ETS1
mesenchymal,EVA1A
mesenchymal,EXT1
mesenchymal,EXTL2
mesenchymal,F2R
mesenchymal,F2RL2
mesenchymal,FAM102B
mesenchymal,FAM114A1
mesenchymal,FAM120A
mesenchymal,FAM129A
mesenchymal,FAM3C
mesenchymal,FAM43A
mesenchymal,FAM46A
mesenchymal,FAT1
mesenchymal,FBN1
mesenchymal,FBN2
mesenchymal,FGFR1
mesenchymal,FIBIN
mesenchymal,FILIP1L
mesenchymal,FKBP14
mesenchymal,FLNA
mesenchymal,FLRT2
mesenchymal,FMOD
mesenchymal,FN1
mesenchymal,FNDC3B
mesenchymal,FSTL1
mesenchymal,FUCA2
mesenchymal,FZD1
mesenchymal,FZD2
mesenchymal,FZD7
mesenchymal,GABRR1
mesenchymal,GALNT10
mesenchymal,GAS1
mesenchymal,GAS2
mesenchymal,GDF15
